Substance,CAS,URL Link,Uses
Pipobroman,54-91-1,https://pubchem.ncbi.nlm.nih.gov/compound/54-91-1,
Pirimicarb,23103-98-2,https://pubchem.ncbi.nlm.nih.gov/compound/23103-98-2,
Plicamycin,18378-89-7,https://pubchem.ncbi.nlm.nih.gov/compound/18378-89-7,
Polybrominated biphenyls,,,
Polybrominated biphenyls,,,
Polychlorinated biphenyls,,,
Polychlorinated biphenyls,,,
Polychlorinated biphenyls (containing 60 or more percent chlorine by molecular weight),,,
Polychlorinated dibenzo-p-dioxins,,,
Polychlorinated dibenzofurans,,,
Polygeenan,,,
Ponceau MX,,,
Ponceau 3R,9/8/64,https://pubchem.ncbi.nlm.nih.gov/compound/3564-09-8,
Potassium bromate,1/2/58,https://pubchem.ncbi.nlm.nih.gov/compound/7758-01-2,
Potassium dimethyldithiocarbamate,,,
Pravastatin sodium,,,
Prednisolone sodium phosphate,125-02-0,https://pubchem.ncbi.nlm.nih.gov/compound/125-02-0,
Primidone,125-33-7,https://pubchem.ncbi.nlm.nih.gov/compound/125-33-7,
Procarbazine,671-16-9,https://pubchem.ncbi.nlm.nih.gov/compound/671-16-9,
Procarbazine hydrochloride,,,
Procarbazine hydrochloride,,,
Procymidone,32809-16-8,https://pubchem.ncbi.nlm.nih.gov/compound/32809-16-8,
Progesterone,57-83-0,https://pubchem.ncbi.nlm.nih.gov/compound/57-83-0,
Pronamide,23950-58-5,https://pubchem.ncbi.nlm.nih.gov/compound/23950-58-5,
Propachlor,1918-16-7,https://pubchem.ncbi.nlm.nih.gov/compound/1918-16-7,
"1,3-Propane sultone",1120-71-4,https://pubchem.ncbi.nlm.nih.gov/compound/1120-71-4,
Propargite,2312-35-8,https://pubchem.ncbi.nlm.nih.gov/compound/2312-35-8,
Propargite,2312-35-8,https://pubchem.ncbi.nlm.nih.gov/compound/2312-35-8,
Propazine,139-40-2,https://pubchem.ncbi.nlm.nih.gov/compound/139-40-2,
beta-Propiolactone,57-57-8,https://pubchem.ncbi.nlm.nih.gov/compound/57-57-8,
Propoxur,114-26-1,https://pubchem.ncbi.nlm.nih.gov/compound/114-26-1,
Propylene glycol mono-t-butyl ether,,,
Propylene oxide,75-56-9,https://pubchem.ncbi.nlm.nih.gov/compound/75-56-9,
Propylthiouracil,51-52-5,https://pubchem.ncbi.nlm.nih.gov/compound/51-52-5,
Propylthiouracil,51-52-5,https://pubchem.ncbi.nlm.nih.gov/compound/51-52-5,
Pulegone,89-82-7,https://pubchem.ncbi.nlm.nih.gov/compound/89-82-7,
Pymetrozine,123312-89-0,https://pubchem.ncbi.nlm.nih.gov/compound/123312-89-0,
Pyridine,110-86-1,https://pubchem.ncbi.nlm.nih.gov/compound/110-86-1,
Pyrimethamine,58-14-0,https://pubchem.ncbi.nlm.nih.gov/compound/58-14-0,
Quazepam,36735-22-5,https://pubchem.ncbi.nlm.nih.gov/compound/36735-22-5,
Quinoline and its strong acid salts,,,
Quizalofop-ethyl,76578-14-8,https://pubchem.ncbi.nlm.nih.gov/compound/76578-14-8,
Radionuclides,,,
Reserpine,50-55-5,https://pubchem.ncbi.nlm.nih.gov/compound/50-55-5,
Residual (heavy) fuel oils,,,
Resmethrin,10453-86-8,https://pubchem.ncbi.nlm.nih.gov/compound/10453-86-8,
Resmethrin,10453-86-8,https://pubchem.ncbi.nlm.nih.gov/compound/10453-86-8,
"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.  (NOTE:  Retinol/retinyl esters are required and essential for maintenance of normal reproductive function.  The recommended daily level during pregnancy is 8,000 IU.)",,,
Ribavirin,36791-04-5,https://pubchem.ncbi.nlm.nih.gov/compound/36791-04-5,
Ribavirin,36791-04-5,https://pubchem.ncbi.nlm.nih.gov/compound/36791-04-5,
Riddelliine,23246-96-0,https://pubchem.ncbi.nlm.nih.gov/compound/23246-96-0,
Rifampin,,,
"Saccharin  Delisted April 6, 2001  [Click here for the basis for delisting]",,,
"Saccharin, sodium  Delisted January 17, 2003 [Click here for the basis for delisting]",,,
Safrole,94-59-7,https://pubchem.ncbi.nlm.nih.gov/compound/94-59-7,
"Salted fish, Chinese-style",,,
Secobarbital sodium ,,,
Sedaxane,874967-67-6,https://pubchem.ncbi.nlm.nih.gov/compound/874967-67-6,
Selenium sulfide,,,
Sermorelin acetate,,,
Shale-oils,,,
"Silica, crystalline (airborne particles of respirable size)",,,
Simazine,122-34-9,https://pubchem.ncbi.nlm.nih.gov/compound/122-34-9,
Sodium dimethyldithiocarbamate,,,
Sodium fluoroacetate,62-74-8,https://pubchem.ncbi.nlm.nih.gov/compound/62-74-8,
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",,,
Spirodiclofen,148477-71-8,https://pubchem.ncbi.nlm.nih.gov/compound/148477-71-8,
Spironolactone,52-01-7,https://pubchem.ncbi.nlm.nih.gov/compound/52-01-7,
Stanozolol,10418-03-8,https://pubchem.ncbi.nlm.nih.gov/compound/10418-03-8,
Sterigmatocystin,10048-13-2,https://pubchem.ncbi.nlm.nih.gov/compound/10048-13-2,
Streptomycin sulfate,3810-74-0,https://pubchem.ncbi.nlm.nih.gov/compound/3810-74-0,
Streptozocin (streptozotocin),,,
Streptozotocin (streptozocin),,,
Strong inorganic acid mists containing sulfuric acid,,,
Styrene,100-42-5,https://pubchem.ncbi.nlm.nih.gov/compound/100-42-5,
Styrene oxide,96-09-3,https://pubchem.ncbi.nlm.nih.gov/compound/96-09-3,
Sulfallate,95-06-7,https://pubchem.ncbi.nlm.nih.gov/compound/95-06-7,
Sulfasalazine (Salicylazosulfapyridine),,,
Sulfasalazine (Salicylazosulfapyridine),,,
Sulfur dioxidee,,,
Sulindac,38194-50-2,https://pubchem.ncbi.nlm.nih.gov/compound/38194-50-2,
Talc containing asbestiform fibers,,,
Tamoxifen and its salts,,,
Tamoxifen citrate,,,
Temazepam,846-50-4,https://pubchem.ncbi.nlm.nih.gov/compound/846-50-4,
Teniposide,29767-20-2,https://pubchem.ncbi.nlm.nih.gov/compound/29767-20-2,
Terbacil,5902-51-2,https://pubchem.ncbi.nlm.nih.gov/compound/5902-51-2,
Teriparatide,52232-67-4,https://pubchem.ncbi.nlm.nih.gov/compound/52232-67-4,
Terrazole,2593-15-9,https://pubchem.ncbi.nlm.nih.gov/compound/2593-15-9,
Testosterone and its esters,,,
Testosterone cypionate,58-20-8,https://pubchem.ncbi.nlm.nih.gov/compound/58-20-8,
Testosterone enanthate,315-37-7,https://pubchem.ncbi.nlm.nih.gov/compound/315-37-7,
Tetrabromobisphenol A,79-94-7,https://pubchem.ncbi.nlm.nih.gov/compound/79-94-7,
"3,3',4,4'-Tetrachloroazobenzene",,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,
"2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD)",,,
"1,1,1,2-Tetrachloroethane",630-20-6,https://pubchem.ncbi.nlm.nih.gov/compound/630-20-6,
"1,1,2,2-Tetrachloroethane",79-34-5,https://pubchem.ncbi.nlm.nih.gov/compound/79-34-5,
Tetrachloroethylene (Perchloroethylene),,,
"p-a,a,a-Tetrachlorotoluene",,,
Tetrachlorvinphos,22248-79-9,https://pubchem.ncbi.nlm.nih.gov/compound/22248-79-9,
Tetracycline (internal use),,,
Tetracyclines (internal use),,,
Tetracycline hydrochloride (internal use),,,
Tetrafluoroethylene,116-14-3,https://pubchem.ncbi.nlm.nih.gov/compound/116-14-3,
Tetranitromethane,509-14-8,https://pubchem.ncbi.nlm.nih.gov/compound/509-14-8,
Thalidomide,50-35-1,https://pubchem.ncbi.nlm.nih.gov/compound/50-35-1,
Thioacetamide,62-55-5,https://pubchem.ncbi.nlm.nih.gov/compound/62-55-5,
"4,4'-Thiodianiline",139-65-1,https://pubchem.ncbi.nlm.nih.gov/compound/139-65-1,
Thiodicarb,,,
Thioguanine,,,
Thiophanate methyl,,,
Thiouracil,141-90-2,https://pubchem.ncbi.nlm.nih.gov/compound/141-90-2,
Thiourea,62-56-6,https://pubchem.ncbi.nlm.nih.gov/compound/62-56-6,
Thorium dioxide,1314-20-1,https://pubchem.ncbi.nlm.nih.gov/compound/1314-20-1,
"Titanium dioxide (airborne, unbound particles of respirable size)",,,
"Tobacco, oral use of smokeless products",,,
Tobacco smoke,,,
Tobacco smoke (primary),,,
Tobramycin sulfate,,,
Toluene,108-88-3,https://pubchem.ncbi.nlm.nih.gov/compound/108-88-3,
"Toluene [Click here for the basis for the removal of female reproductive endpoint effective March 7, 2014]",,,
Toluene diisocyanate,584-84-9,https://pubchem.ncbi.nlm.nih.gov/compound/584-84-9,
o-Toluidine,95-53-4,https://pubchem.ncbi.nlm.nih.gov/compound/95-53-4,
o-Toluidine hydrochloride,636-21-5,https://pubchem.ncbi.nlm.nih.gov/compound/636-21-5,
"para-Toluidine  Delisted October 29, 1999 [Click here for the basis for delisting]",,,
Topiramate,97240-79-4,https://pubchem.ncbi.nlm.nih.gov/compound/97240-79-4,
Toxaphene (Polychlorinated camphenes),,,
Toxins derived from Fusarium moniliforme (Fusarium verticillioides),,,
Treosulfan,299-75-2,https://pubchem.ncbi.nlm.nih.gov/compound/299-75-2,
Triadimefon,43121-43-3,https://pubchem.ncbi.nlm.nih.gov/compound/43121-43-3,
Triamterene,396-01-0,https://pubchem.ncbi.nlm.nih.gov/compound/396-01-0,
Triazolam,28911-01-5,https://pubchem.ncbi.nlm.nih.gov/compound/28911-01-5,
"S,S,S-Tributyl phosphorotrithioate (Tribufos, DEF)",,,
Tributyltin methacrylate,,,
Trichlormethine (Trimustine hydrochloride),,,
Trichloroacetic acid,76-03-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-03-9,
Trichloroethylene,79-01-6,https://pubchem.ncbi.nlm.nih.gov/compound/79-01-6,
Trichloroethylene,79-01-6,https://pubchem.ncbi.nlm.nih.gov/compound/79-01-6,
"2,4,6-Trichlorophenol",88-06-2,https://pubchem.ncbi.nlm.nih.gov/compound/88-06-2,
"1,2,3-Trichloropropane",96-18-4,https://pubchem.ncbi.nlm.nih.gov/compound/96-18-4,
Trientine hydrochloride,,,
Triforine,,,
"1,3,5-Triglycidyl-s-triazinetrione  Delisted December 13, 2013 [Click here for the basis for delisting]",,,
Trilostane,13647-35-3,https://pubchem.ncbi.nlm.nih.gov/compound/13647-35-3,
Trimethadione,127-48-0,https://pubchem.ncbi.nlm.nih.gov/compound/127-48-0,
"2,4,5-Trimethylaniline and its strong acid salts",,,
Trimethyl phosphate,512-56-1,https://pubchem.ncbi.nlm.nih.gov/compound/512-56-1,
Trimetrexate glucuronate,,,
"2,4,6-Trinitrotoluene (TNT)",,,
Triphenyltin hydroxide,76-87-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-87-9,
Triphenyltin hydroxide,76-87-9,https://pubchem.ncbi.nlm.nih.gov/compound/76-87-9,
"Tris(aziridinyl)-p-benzoquinone (Triaziquone) Delisted December 8, 2006 [Click here for the basis for delisting]",,,
Tris(1-aziridinyl)phosphine sulfide (Thiotepa),,,
Tris(2-chloroethyl) phosphate,115-96-8,https://pubchem.ncbi.nlm.nih.gov/compound/115-96-8,
"Tris(2,3-dibromopropyl)phosphate",126-72-7,https://pubchem.ncbi.nlm.nih.gov/compound/126-72-7,
"Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)",,,
Trp-P-1 (Tryptophan-P-1),,,
Trp-P-2 (Tryptophan-P-2),,,
Trypan blue (commercial grade),,,
Unleaded gasoline (wholly vaporized),,,
Uracil mustard,66-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/66-75-1,
Uracil mustard,66-75-1,https://pubchem.ncbi.nlm.nih.gov/compound/66-75-1,
Urethane (Ethyl carbamate),,,
Urethane (Ethyl carbamate),,,
Urofollitropin,146479-72-3,https://pubchem.ncbi.nlm.nih.gov/compound/146479-72-3,
Valproate (Valproic acid),,,
Vanadium pentoxide (orthorhombic crystalline form),,,
Vinblastine sulfate,,,
"Vinclozolin [basis for listing changed on November 16, 2006]",,,
Vinclozolin,50471-44-8,https://pubchem.ncbi.nlm.nih.gov/compound/50471-44-8,
Vincristine sulfate,,,
Vinyl bromide,593-60-2,https://pubchem.ncbi.nlm.nih.gov/compound/593-60-2,
Vinyl chloride,75-01-4,https://pubchem.ncbi.nlm.nih.gov/compound/75-01-4,
4-Vinylcyclohexene,100-40-3,https://pubchem.ncbi.nlm.nih.gov/compound/100-40-3,
"4-Vinylcyclohexene [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013 ]",,,
4-Vinyl-1-cyclohexene diepoxide (Vinyl cyclohexenedioxide),,,
"Vinyl cyclohexene dioxide (4-Vinyl-1-cyclohexene diepoxide) [Click here for the basis for the removal of male reproductive endpoint, effective December 20, 2013]",,,
Vinyl fluoride,75-02-5,https://pubchem.ncbi.nlm.nih.gov/compound/75-02-5,
Vinylidene chloride,75-35-4,https://pubchem.ncbi.nlm.nih.gov/compound/75-35-4,
"(1,1-Dichloroethylene)",75-35-4,https://pubchem.ncbi.nlm.nih.gov/compound/75-35-4,
"Vinyl trichloride (1,1,2-Trichloroethane)",,,
Vismodegib,879085-55-9,https://pubchem.ncbi.nlm.nih.gov/compound/879085-55-9,
Warfarin,81-81-2,https://pubchem.ncbi.nlm.nih.gov/compound/81-81-2,
Wood dust,,,
"2,6-Xylidine (2,6-Dimethylaniline)",,,
Zalcitabine,7481-89-2,https://pubchem.ncbi.nlm.nih.gov/compound/7481-89-2,
Zidovudine (AZT),,,
Zileuton ,,,
